,om,yr,mo,dy,date,time,tz,st,stf,stn,f,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,touchdown,has_warning,has_watch,warning_time,pop_dens
1,1,1950,1,3,1950-01-03,11:00:00,3,MO,29,1,3,3,0,6.0,0.0,38.77,-90.22,38.82,-90.12,6.2,150,2,1,2,189,0,0,0,1950-01-03 17:00:00,False,False,0,0.00030896477345984804
2,1,1950,1,3,1950-01-03,11:10:00,3,IL,17,1,3,0,0,5.0,0.0,38.82,-90.12,38.83,-90.03,3.3,100,2,1,2,119,0,0,0,1950-01-03 17:10:00,False,False,0,9.836633039630123e-05
3,2,1950,1,3,1950-01-03,11:55:00,3,IL,17,2,3,3,0,5.0,0.0,39.1,-89.3,39.12,-89.23,3.6,130,1,1,1,135,0,0,0,1950-01-03 17:55:00,False,False,0,1.7810312608741292e-05
5,4,1950,1,13,1950-01-13,05:25:00,3,AR,5,1,3,1,1,3.0,0.0,34.4,-94.37,0.0,0.0,0.6,17,1,1,1,113,0,0,0,1950-01-13 11:25:00,False,False,0,6.384325534553169e-06
10,9,1950,2,11,1950-02-11,13:50:00,3,TX,48,3,3,12,1,4.0,0.0,29.67,-95.05,29.83,-95.0,12.0,1000,1,1,1,201,0,0,0,1950-02-11 19:50:00,False,False,0,0.00018284303113957204
17,18,1950,2,12,1950-02-12,12:00:00,3,TX,48,10,3,15,3,5.0,0.0,31.8,-94.2,31.8,-94.18,1.9,50,1,1,1,419,0,0,0,1950-02-12 18:00:00,False,False,0,1.1394522507390073e-05
21,20,1950,2,12,1950-02-12,13:00:00,3,LA,22,1,4,77,18,5.0,0.0,31.97,-94.0,33.0,-93.3,82.6,100,1,1,1,31,17,15,119,1950-02-12 19:00:00,False,False,0,3.3530462940553235e-05
23,22,1950,2,12,1950-02-12,14:00:00,3,LA,22,4,3,25,5,5.0,0.0,31.63,-93.65,32.55,-93.03,74.5,100,1,1,1,85,69,81,13,1950-02-12 20:00:00,False,False,0,1.049708574281928e-05
36,34,1950,3,26,1950-03-26,19:31:00,3,AR,5,5,3,1,0,5.0,0.0,36.15,-91.83,36.2,-91.75,5.7,200,1,1,1,65,0,0,0,1950-03-27 01:31:00,False,False,0,6.619067156716871e-06
38,36,1950,3,26,1950-03-26,21:15:00,3,AR,5,7,3,20,0,5.0,0.0,34.98,-91.73,35.08,-91.5,14.9,1760,1,1,1,117,0,0,0,1950-03-27 03:15:00,False,False,0,8.204009157695428e-06
53,49,1950,4,2,1950-04-02,15:30:00,3,AR,5,9,3,8,1,3.0,0.0,35.75,-91.22,0.0,0.0,2.5,10,1,1,1,67,0,0,0,1950-04-02 21:30:00,False,False,0,1.5781786624977738e-05
57,53,1950,4,18,1950-04-18,01:30:00,3,AL,1,1,3,15,0,4.0,0.0,30.67,-88.2,30.85,-88.1,14.0,100,1,1,1,97,0,0,0,1950-04-18 07:30:00,False,False,0,7.257814356864838e-05
61,57,1950,4,28,1950-04-28,14:17:00,3,OK,40,5,3,1,1,5.0,0.0,34.88,-99.28,35.17,-99.2,20.8,400,1,1,1,75,149,0,0,1950-04-28 20:17:00,False,False,0,6.9980318086708695e-06
63,59,1950,4,28,1950-04-28,18:00:00,3,TX,48,11,4,5,5,5.0,0.0,32.42,-99.5,32.42,-99.48,1.3,233,1,1,1,59,0,0,0,1950-04-29 00:00:00,False,False,0,3.90106609941671e-06
64,60,1950,4,28,1950-04-28,19:05:00,3,OK,40,6,4,32,5,5.0,0.0,35.08,-96.4,35.13,-96.35,4.5,200,1,1,1,63,0,0,0,1950-04-29 01:05:00,False,False,0,9.915427644916008e-06
83,79,1950,5,4,1950-05-04,23:10:00,3,KS,20,3,4,1,0,5.0,0.0,38.03,-99.12,38.45,-98.78,34.3,150,1,1,1,9,145,0,0,1950-05-05 05:10:00,False,False,0,9.584312693570247e-06
84,80,1950,5,5,1950-05-05,03:30:00,3,KS,20,4,3,12,0,5.0,0.0,39.62,-95.62,39.85,-95.52,17.3,440,1,1,1,85,13,0,0,1950-05-05 09:30:00,False,False,0,8.101893322133696e-06
114,110,1950,5,18,1950-05-18,19:00:00,3,KS,20,12,3,2,0,5.0,0.0,38.12,-96.82,38.33,-96.82,14.9,100,1,1,1,17,0,0,0,1950-05-19 01:00:00,False,False,0,2.4128255879259592e-06
129,125,1950,6,3,1950-06-03,01:00:00,3,MS,28,13,3,1,2,0.0,0.0,33.08,-89.58,0.0,0.0,2.0,50,1,1,1,7,0,0,0,1950-06-03 07:00:00,False,False,0,1.4000881163516595e-05
132,128,1950,6,5,1950-06-05,15:55:00,3,TX,48,18,3,6,0,5.0,0.0,30.18,-96.4,30.02,-96.05,23.9,67,1,1,1,477,0,0,0,1950-06-05 21:55:00,False,False,0,1.3132320169313056e-05
136,132,1950,6,8,1950-06-08,20:10:00,3,KS,20,18,4,5,1,5.0,0.0,38.33,-97.93,38.33,-97.6,17.1,700,1,1,1,159,113,0,0,1950-06-09 02:10:00,False,False,0,9.34172984982074e-06
140,136,1950,6,13,1950-06-13,11:05:00,3,ND,38,1,3,0,0,5.0,0.0,46.8,-97.92,0.0,0.0,2.0,10,1,1,1,17,0,0,0,1950-06-13 17:05:00,False,False,0,1.2880083332837527e-05
143,139,1950,6,14,1950-06-14,17:00:00,3,ND,38,2,3,0,0,4.0,0.0,48.92,-103.77,48.78,-103.28,23.7,10,1,1,1,23,0,0,0,1950-06-14 23:00:00,False,False,0,1.8273293212461766e-06
146,142,1950,6,15,1950-06-15,20:00:00,3,IA,19,3,3,5,0,0.0,0.0,41.98,-93.6,41.97,-93.48,5.6,300,1,1,1,169,0,0,0,1950-06-16 02:00:00,False,False,0,2.985589981270785e-05
154,150,1950,6,25,1950-06-25,21:00:00,3,WI,55,4,4,12,2,5.0,0.0,45.58,-89.58,45.67,-89.33,13.1,880,1,1,1,85,0,0,0,1950-06-26 03:00:00,False,False,0,7.1630308158817125e-06
156,152,1950,6,25,1950-06-25,23:30:00,3,WI,55,5,3,0,0,5.0,0.0,43.95,-88.95,43.97,-88.93,0.1,300,1,1,1,47,0,0,0,1950-06-26 05:30:00,False,False,0,1.6296562279135878e-05
168,164,1950,7,15,1950-07-15,17:30:00,3,NE,31,5,4,33,0,6.0,0.0,41.8,-96.6,41.73,-96.42,10.0,440,1,1,1,21,0,0,0,1950-07-15 23:30:00,False,False,0,9.060708170294486e-06
172,169,1950,7,19,1950-07-19,15:15:00,3,OH,39,3,3,30,0,6.0,0.0,40.72,-84.08,40.83,-83.97,9.7,300,1,1,1,3,0,0,0,1950-07-19 21:15:00,False,False,0,8.459134512846445e-05
197,193,1950,10,9,1950-10-09,02:15:00,3,NC,37,9,3,3,0,5.0,0.0,34.17,-78.6,0.0,0.0,2.0,880,1,1,1,47,0,0,0,1950-10-09 08:15:00,False,False,0,2.085247035938595e-05
198,194,1950,11,4,1950-11-04,17:00:00,3,PA,42,5,3,1,0,5.0,0.0,40.2,-76.12,40.4,-75.93,15.9,100,1,1,1,71,11,0,0,1950-11-04 23:00:00,False,False,0,0.00010518511244648218
203,199,1950,12,2,1950-12-02,16:00:00,3,IL,17,8,3,25,2,6.0,0.0,38.75,-89.67,38.9,-89.38,18.0,200,1,1,1,119,5,0,0,1950-12-02 22:00:00,False,False,0,6.921972167394816e-05
204,200,1950,12,2,1950-12-02,16:25:00,3,AR,5,12,3,0,0,1.0,0.0,36.12,-91.83,36.18,-91.72,7.8,10,1,1,1,65,0,0,0,1950-12-02 22:25:00,False,False,0,6.619067156716871e-06
206,1,1951,1,6,1951-01-06,17:30:00,3,LA,22,1,3,11,0,5.0,0.0,31.3,-92.47,31.53,-92.4,16.8,317,1,1,1,79,43,0,0,1951-01-06 23:30:00,False,False,0,2.0656100948663257e-05
215,9,1951,2,20,1951-02-20,15:00:00,3,MS,28,1,3,1,1,3.0,0.0,33.45,-88.87,0.0,0.0,0.1,10,1,1,1,105,0,0,0,1951-02-20 21:00:00,False,False,0,2.0703040574481073e-05
233,27,1951,4,21,1951-04-21,19:25:00,3,MS,28,3,3,16,2,4.0,0.0,31.68,-89.25,32.15,-89.12,33.5,10,1,1,1,67,61,0,0,1951-04-22 01:25:00,False,False,0,2.1443988660674952e-05
245,39,1951,4,30,1951-04-30,05:30:00,3,KS,20,8,3,0,0,5.0,0.0,37.63,-98.75,37.77,-98.58,12.8,440,1,1,1,151,0,0,0,1951-04-30 11:30:00,False,False,0,6.38526811782849e-06
248,42,1951,4,30,1951-04-30,21:30:00,3,OK,40,12,3,0,0,5.0,0.0,35.43,-97.58,35.5,-97.48,7.4,200,1,1,1,109,0,0,0,1951-05-01 03:30:00,False,False,0,0.00017722315776972256
268,62,1951,5,14,1951-05-14,19:30:00,3,KS,20,18,3,4,0,3.0,0.0,39.78,-101.33,0.0,0.0,0.1,10,1,1,1,153,0,0,0,1951-05-15 01:30:00,False,False,0,2.068037422452789e-06
272,66,1951,5,18,1951-05-18,15:45:00,3,TX,48,5,4,100,2,6.0,0.0,33.42,-98.75,0.0,0.0,2.0,200,1,1,1,503,0,0,0,1951-05-18 21:45:00,False,False,0,7.097438644338114e-06
282,76,1951,5,20,1951-05-20,19:00:00,3,KS,20,19,3,0,0,5.0,0.0,37.9,-101.2,38.02,-101.02,12.8,900,1,1,1,93,55,0,0,1951-05-21 01:00:00,False,False,0,3.3027790208261414e-06
284,78,1951,5,20,1951-05-20,19:00:00,3,KS,20,21,3,0,0,2.0,0.0,39.78,-101.38,0.0,0.0,0.1,10,1,1,1,153,0,0,0,1951-05-21 01:00:00,False,False,0,2.068037422452789e-06
291,85,1951,5,25,1951-05-25,16:00:00,3,KS,20,25,3,0,1,5.0,0.0,39.27,-97.18,39.32,-97.13,4.1,440,1,1,1,27,0,0,0,1951-05-25 22:00:00,False,False,0,6.998650977564741e-06
310,104,1951,6,1,1951-06-01,21:15:00,3,IA,19,1,3,7,0,0.0,0.0,42.07,-92.92,0.0,0.0,1.5,880,1,1,1,127,0,0,0,1951-06-02 03:15:00,False,False,0,2.4016525635665424e-05
321,112,1951,6,6,1951-06-06,19:30:00,3,KS,20,39,3,3,0,4.0,0.0,37.58,-101.37,37.03,-100.93,44.8,10,1,1,1,67,81,175,0,1951-06-07 01:30:00,False,False,0,3.7097143240599853e-06
324,118,1951,6,6,1951-06-06,20:06:00,3,TX,48,10,3,12,0,5.0,0.0,35.43,-101.18,35.32,-101.07,10.4,100,1,1,1,65,0,0,0,1951-06-07 02:06:00,False,False,0,2.8749334070787596e-06
337,131,1951,6,8,1951-06-08,18:30:00,3,OK,40,31,3,0,0,5.0,0.0,35.38,-98.8,35.33,-98.62,10.9,173,1,1,1,149,0,0,0,1951-06-09 00:30:00,False,False,0,6.7958852041642335e-06
355,149,1951,6,19,1951-06-19,17:30:00,3,MN,27,1,4,20,1,6.0,0.0,44.88,-94.37,45.22,-93.35,52.6,330,1,1,1,85,171,53,3,1951-06-19 23:30:00,False,False,0,0.00013817034872518766
364,158,1951,6,21,1951-06-21,19:50:00,3,IN,18,2,3,4,0,6.0,0.0,41.12,-86.48,41.12,-86.35,5.4,1760,1,1,1,131,49,0,0,1951-06-22 01:50:00,False,False,0,1.3988569326601244e-05
377,171,1951,6,27,1951-06-27,00:10:00,3,KS,20,61,4,100,5,6.0,0.0,39.03,-99.88,0.0,0.0,0.8,300,1,1,1,195,0,0,0,1951-06-27 06:10:00,False,False,0,2.5471662271108405e-06
381,175,1951,6,27,1951-06-27,19:30:00,3,IL,17,1,3,35,0,6.0,0.0,39.95,-89.17,39.95,-88.98,9.6,300,1,1,1,107,115,0,0,1951-06-28 01:30:00,False,False,0,4.171813048319367e-05
382,176,1951,6,27,1951-06-27,20:45:00,3,IL,17,2,3,15,1,6.0,0.0,40.27,-89.47,40.27,-89.12,18.2,200,1,1,1,107,0,0,0,1951-06-28 02:45:00,False,False,0,1.916021928921265e-05
401,195,1951,7,20,1951-07-20,21:00:00,3,MN,27,3,3,40,5,7.0,0.0,44.93,-93.5,44.88,-93.27,11.6,10,1,1,1,53,0,0,0,1951-07-21 03:00:00,False,False,0,0.00047188025762917466
425,219,1951,8,21,1951-08-21,16:30:00,3,CT,9,3,3,8,0,5.0,0.0,41.58,-72.5,0.0,0.0,0.1,10,1,1,1,7,0,0,0,1951-08-21 22:30:00,False,False,0,7.039515845243205e-05
437,231,1951,9,12,1951-09-12,11:30:00,3,WI,55,3,3,1,0,5.0,0.0,44.63,-92.08,44.92,-91.75,24.4,200,1,1,1,91,33,0,0,1951-09-12 17:30:00,False,False,0,1.2418128701684965e-05
439,233,1951,9,26,1951-09-26,15:45:00,3,WI,55,4,4,3,6,5.0,0.0,44.33,-89.3,44.47,-88.78,26.4,100,1,1,1,97,135,0,0,1951-09-26 21:45:00,False,False,0,1.7433544415386298e-05
440,234,1951,9,26,1951-09-26,16:30:00,3,WI,55,5,4,9,1,5.0,0.0,43.47,-89.25,43.53,-89.08,9.0,100,1,1,1,21,0,0,0,1951-09-26 22:30:00,False,False,0,1.7159834015305642e-05
448,242,1951,11,13,1951-11-13,13:30:00,3,MO,29,6,3,1,0,4.0,0.0,36.62,-89.75,0.0,0.0,1.0,27,1,1,1,143,0,0,0,1951-11-13 19:30:00,False,False,0,2.2567433712115517e-05
451,245,1951,11,13,1951-11-13,17:50:00,3,KY,21,2,3,11,1,5.0,0.0,37.02,-88.33,0.0,0.0,2.0,10,1,1,1,157,0,0,0,1951-11-13 23:50:00,False,False,0,1.715752563441925e-05
459,253,1951,12,6,1951-12-06,18:00:00,3,IL,17,5,3,1,1,5.0,0.0,41.33,-89.18,41.65,-89.12,21.9,150,1,1,1,11,0,0,0,1951-12-07 00:00:00,False,False,0,1.6754632791030982e-05
486,20,1952,2,13,1952-02-13,20:00:00,3,AL,1,2,3,14,1,4.0,0.0,33.57,-87.67,33.62,-87.62,5.6,100,1,1,1,125,57,0,0,1952-02-14 02:00:00,False,False,0,2.2475913388246996e-05
489,23,1952,2,13,1952-02-13,21:30:00,3,AL,1,4,3,26,1,5.0,0.0,33.6,-86.93,0.0,0.0,0.1,200,1,1,1,73,0,0,0,1952-02-14 03:30:00,False,False,0,0.0001941941188820722
490,25,1952,2,13,1952-02-13,22:00:00,3,TN,47,4,3,2,0,5.0,0.0,35.22,-86.6,35.22,-86.47,7.4,350,1,1,1,103,0,0,0,1952-02-14 04:00:00,False,False,0,1.7346688880185832e-05
493,27,1952,2,13,1952-02-13,22:30:00,3,TN,47,5,4,44,3,5.0,0.0,35.2,-86.3,35.22,-86.08,12.7,100,1,1,1,127,51,0,0,1952-02-14 04:30:00,False,False,0,1.6589471950111553e-05
494,28,1952,2,13,1952-02-13,23:00:00,3,TN,47,6,3,2,0,5.0,0.0,35.25,-85.83,35.27,-85.75,5.1,400,1,1,1,61,0,0,0,1952-02-14 05:00:00,False,False,0,1.344858023377025e-05
499,33,1952,2,29,1952-02-29,16:30:00,3,TN,47,8,4,150,2,6.0,0.0,35.15,-86.58,0.0,0.0,2.0,300,1,1,1,103,0,0,0,1952-02-29 22:30:00,False,False,0,1.7346688880185832e-05
501,35,1952,2,29,1952-02-29,17:00:00,3,AL,1,5,3,12,0,0.0,0.0,34.5,-85.7,34.53,-85.67,3.3,400,1,1,1,49,0,0,0,1952-02-29 23:00:00,False,False,0,2.2382293681083345e-05
508,42,1952,3,3,1952-03-03,13:10:00,3,AL,1,6,3,6,0,4.0,0.0,33.33,-87.9,33.37,-87.87,3.3,440,1,1,1,107,0,0,0,1952-03-03 19:10:00,False,False,0,1.0666113862137017e-05
509,43,1952,3,3,1952-03-03,20:11:00,3,GA,13,10,3,4,0,5.0,0.0,32.8,-83.68,32.78,-83.62,4.3,400,1,1,1,21,0,0,0,1952-03-04 02:11:00,False,False,0,0.0001763527455108314
510,44,1952,3,10,1952-03-10,08:30:00,3,LA,22,3,3,0,0,5.0,0.0,32.23,-93.65,32.78,-93.07,50.9,650,1,1,1,31,17,13,119,1952-03-10 14:30:00,False,False,0,3.126478089691448e-05
518,52,1952,3,21,1952-03-21,14:40:00,3,AR,5,5,4,9,7,4.0,0.0,34.02,-94.02,34.22,-93.97,13.0,833,1,1,1,61,0,0,0,1952-03-21 20:40:00,False,False,0,8.752602406773318e-06
519,53,1952,3,21,1952-03-21,16:00:00,3,AR,5,6,3,0,0,4.0,0.0,34.72,-92.82,34.78,-92.52,17.7,440,1,1,1,125,0,0,0,1952-03-21 22:00:00,False,False,0,1.2707799907944966e-05
520,54,1952,3,21,1952-03-21,16:50:00,3,AR,5,10,4,325,50,6.0,0.0,35.22,-91.7,35.37,-91.52,14.6,1760,1,1,1,145,0,0,0,1952-03-21 22:50:00,False,False,0,1.4189621400108997e-05
522,56,1952,3,21,1952-03-21,17:00:00,3,AR,5,8,4,6,2,5.0,0.0,34.9,-91.85,34.8,-91.8,7.6,10,1,1,1,85,0,0,0,1952-03-21 23:00:00,False,False,0,1.3665120926478888e-05
523,57,1952,3,21,1952-03-21,17:00:00,3,AR,5,9,3,9,9,5.0,0.0,34.53,-91.8,34.73,-91.65,16.2,10,1,1,1,85,0,0,0,1952-03-21 23:00:00,False,False,0,1.3665120926478888e-05
526,60,1952,3,21,1952-03-21,17:30:00,3,AR,5,13,3,0,0,4.0,0.0,35.13,-91.45,35.27,-91.18,17.6,600,1,1,1,147,0,0,0,1952-03-21 23:30:00,False,False,0,1.2473509797279021e-05
527,61,1952,3,21,1952-03-21,17:30:00,3,AR,5,14,4,180,29,6.0,0.0,35.0,-91.25,35.13,-91.08,13.1,880,1,1,1,147,0,0,0,1952-03-21 23:30:00,False,False,0,1.2473509797279021e-05
528,62,1952,3,21,1952-03-21,17:40:00,3,AR,5,15,3,6,0,3.0,0.0,35.47,-91.2,35.8,-90.97,28.5,440,1,1,1,67,111,31,0,1952-03-21 23:40:00,False,False,0,2.1302128909175472e-05
529,64,1952,3,21,1952-03-21,18:00:00,3,AR,5,16,4,5,4,5.0,0.0,35.42,-91.0,0.0,0.0,0.1,880,1,1,1,37,0,0,0,1952-03-22 00:00:00,False,False,0,1.5507838967988264e-05
530,63,1952,3,21,1952-03-21,18:00:00,3,TN,47,11,4,10,2,5.0,0.0,36.02,-89.2,36.08,-89.18,4.7,200,1,1,1,45,0,0,0,1952-03-22 00:00:00,False,False,0,2.522607981934844e-05
531,65,1952,3,21,1952-03-21,18:45:00,3,AR,5,17,3,96,3,5.0,0.0,35.6,-90.72,35.67,-90.52,51.8,880,1,1,1,111,93,0,0,1952-03-22 00:45:00,False,False,0,2.8320846687327474e-05
532,66,1952,3,21,1952-03-21,18:45:00,3,AR,5,18,3,5,1,5.0,0.0,35.53,-90.42,35.62,-90.28,9.4,200,1,1,1,111,0,0,0,1952-03-22 00:45:00,False,False,0,2.001356670461199e-05
533,67,1952,3,21,1952-03-21,19:00:00,3,AR,5,19,3,57,1,5.0,0.0,35.67,-90.52,35.95,-89.9,39.7,880,1,1,1,93,0,0,0,1952-03-22 01:00:00,False,False,0,3.531654814606744e-05
534,68,1952,3,21,1952-03-21,20:00:00,3,MO,29,4,4,100,17,6.0,0.0,36.05,-89.82,36.07,-89.7,6.5,880,1,1,1,155,0,0,0,1952-03-22 02:00:00,False,False,0,3.576439705821749e-05
535,71,1952,3,21,1952-03-21,20:30:00,3,TN,47,13,4,5,4,5.0,0.0,36.1,-89.27,0.0,0.0,2.0,200,1,1,1,45,0,0,0,1952-03-22 02:30:00,False,False,0,2.522607981934844e-05
536,70,1952,3,21,1952-03-21,20:30:00,3,TN,47,12,3,30,10,5.0,0.0,35.95,-89.43,36.13,-89.2,18.1,1000,1,1,1,45,0,0,0,1952-03-22 02:30:00,False,False,0,2.522607981934844e-05
539,72,1952,3,21,1952-03-21,22:00:00,3,MS,28,5,4,24,9,5.0,0.0,34.87,-89.68,35.0,-89.58,10.9,100,2,1,2,93,0,0,0,1952-03-22 04:00:00,False,False,0,1.3726399594735187e-05
540,72,1952,3,21,1952-03-21,22:00:00,3,TN,47,18,4,50,7,5.0,0.0,35.0,-89.58,35.12,-89.28,18.7,427,2,1,2,47,0,0,0,1952-03-22 04:00:00,False,False,0,1.508447531608699e-05
542,74,1952,3,21,1952-03-21,22:50:00,3,TN,47,15,3,3,0,5.0,0.0,35.85,-88.67,0.0,0.0,0.1,100,1,1,1,17,0,0,0,1952-03-22 04:50:00,False,False,0,1.710827566725595e-05
544,76,1952,3,21,1952-03-21,23:17:00,3,TN,47,17,3,19,0,5.0,0.0,36.02,-88.27,36.07,-88.2,5.1,177,1,1,1,17,0,0,0,1952-03-22 05:17:00,False,False,0,1.710827566725595e-05
545,77,1952,3,21,1952-03-21,23:30:00,3,TN,47,19,4,157,38,6.0,0.0,35.27,-88.98,35.63,-88.28,46.8,177,1,1,1,69,23,77,0,1952-03-22 05:30:00,False,False,0,1.3528727676652797e-05
547,79,1952,3,22,1952-03-22,00:05:00,3,KY,21,1,3,18,0,5.0,0.0,37.53,-85.72,37.55,-85.67,2.7,10,1,1,1,123,0,0,0,1952-03-22 06:05:00,False,False,0,1.4698858596129909e-05
550,82,1952,3,22,1952-03-22,15:00:00,3,AL,1,7,4,50,4,4.0,0.0,34.6,-87.0,34.68,-86.63,21.6,100,1,1,1,103,0,0,0,1952-03-22 21:00:00,False,False,0,3.5271466353611945e-05
553,85,1952,4,4,1952-04-04,02:00:00,3,LA,22,5,3,10,0,5.0,0.0,30.17,-92.87,30.37,-92.3,36.7,100,1,1,1,53,1,0,0,1952-04-04 08:00:00,False,False,0,2.1676975689917806e-05
562,94,1952,4,5,1952-04-05,12:15:00,3,PA,42,2,3,4,0,6.0,0.0,39.8,-76.98,39.95,-76.72,17.5,10,1,1,1,133,0,0,0,1952-04-05 18:15:00,False,False,0,8.657243814368293e-05
576,108,1952,4,21,1952-04-21,12:15:00,3,TX,48,7,4,0,0,4.0,0.0,31.5,-97.45,31.48,-97.42,2.3,200,1,1,1,309,0,0,0,1952-04-21 18:15:00,False,False,0,4.846988978401108e-05
585,117,1952,4,30,1952-04-30,18:30:00,3,TX,48,8,3,6,0,5.0,0.0,31.45,-100.47,0.0,0.0,0.5,100,1,1,1,451,0,0,0,1952-05-01 00:30:00,False,False,0,1.494942933711255e-05
598,130,1952,5,10,1952-05-10,14:00:00,3,SC,45,1,3,4,2,1.0,0.0,34.8,-82.25,34.8,-81.85,22.7,83,1,1,1,45,83,0,0,1952-05-10 20:00:00,False,False,0,7.719421532312555e-05
599,131,1952,5,11,1952-05-11,06:20:00,3,GA,13,12,3,10,0,6.0,0.0,31.37,-83.25,31.4,-83.2,4.3,200,1,1,1,19,0,0,0,1952-05-11 12:20:00,False,False,0,1.1932593199672551e-05
601,133,1952,5,15,1952-05-15,15:15:00,3,CO,8,2,3,5,0,4.0,0.0,40.33,-104.57,40.25,-104.47,7.4,150,1,1,1,123,0,0,0,1952-05-15 21:15:00,False,False,0,6.536715582729021e-06
606,138,1952,5,22,1952-05-22,17:10:00,3,KS,20,8,4,3,0,5.0,0.0,38.98,-95.22,39.07,-94.72,26.9,440,1,1,1,45,103,91,209,1952-05-22 23:10:00,False,False,0,7.61731147401219e-05
632,164,1952,6,15,1952-06-15,16:00:00,3,ND,38,3,3,1,0,4.0,0.0,47.4,-99.55,0.0,0.0,1.7,10,1,1,1,103,0,0,0,1952-06-15 22:00:00,False,False,0,3.164341928560354e-06
640,172,1952,6,23,1952-06-23,18:30:00,3,IA,19,4,4,4,0,6.0,0.0,42.75,-95.85,42.9,-95.42,24.1,400,1,1,1,35,0,0,0,1952-06-24 00:30:00,False,False,0,1.275080329642478e-05
643,175,1952,6,23,1952-06-23,21:30:00,3,WI,55,1,3,6,2,6.0,0.0,45.42,-92.63,45.58,-92.33,18.2,100,1,1,1,95,0,0,0,1952-06-24 03:30:00,False,False,0,1.0537562852861765e-05
656,188,1952,7,1,1952-07-01,14:00:00,3,ND,38,7,3,0,0,4.0,0.0,46.07,-96.95,0.0,0.0,0.5,10,1,1,1,77,0,0,0,1952-07-01 20:00:00,False,False,0,5.34199161828903e-06
658,190,1952,7,1,1952-07-01,18:00:00,3,ND,38,6,4,26,1,5.0,0.0,47.05,-100.5,47.2,-99.5,48.0,150,1,1,1,15,43,0,0,1952-07-02 00:00:00,False,False,0,4.12015033842543e-06
678,209,1952,7,19,1952-07-19,18:30:00,3,MT,30,2,3,2,1,5.0,0.0,46.97,-104.25,47.0,-104.05,9.1,10,2,1,2,109,0,0,0,1952-07-20 00:30:00,False,False,0,8.279840196288084e-07
679,209,1952,7,19,1952-07-19,18:30:00,3,ND,38,9,3,0,0,3.0,0.0,47.0,-104.05,47.02,-103.88,7.3,10,2,1,2,33,0,0,0,1952-07-20 00:30:00,False,False,0,1.3499101596208888e-06
686,216,1952,8,7,1952-08-07,18:00:00,3,KS,20,16,3,0,0,0.0,0.0,39.0,-98.52,39.05,-98.45,4.7,10,1,1,1,167,105,0,0,1952-08-08 00:00:00,False,False,0,4.8210596988114555e-06
690,220,1952,8,13,1952-08-13,17:30:00,3,NE,31,9,3,1,0,0.0,0.0,41.47,-97.28,41.25,-96.38,44.4,1300,1,1,1,37,23,0,0,1952-08-13 23:30:00,False,False,0,8.30732756312477e-06
691,221,1952,8,13,1952-08-13,19:00:00,3,NE,31,8,4,20,0,5.0,0.0,41.22,-96.58,40.93,-96.22,26.7,110,1,1,1,155,25,0,0,1952-08-14 01:00:00,False,False,0,9.82734742709257e-06
701,231,1952,9,17,1952-09-17,11:30:00,3,NC,37,6,3,0,0,4.0,0.0,35.95,-75.6,0.0,0.0,1.0,50,1,1,1,55,0,0,0,1952-09-17 17:30:00,False,False,0,5.442815868230082e-06
703,233,1952,11,16,1952-11-16,16:00:00,3,MO,29,9,3,2,0,4.0,0.0,40.45,-95.07,40.57,-94.68,21.6,600,1,1,1,147,0,0,0,1952-11-16 22:00:00,False,False,0,1.0581042017592582e-05
710,239,1952,12,9,1952-12-09,15:00:00,3,KY,21,2,3,3,0,0.0,0.0,37.68,-87.3,37.93,-86.77,33.7,880,2,1,2,59,91,0,0,1952-12-09 21:00:00,False,False,0,3.7803427070667266e-05
711,239,1952,12,9,1952-12-09,15:50:00,3,IN,18,2,3,0,0,5.0,0.0,37.93,-86.77,37.95,-86.73,1.3,880,2,1,2,123,0,0,0,1952-12-09 21:50:00,False,False,0,1.756604599647145e-05
720,8,1953,1,20,1953-01-20,15:00:00,3,AL,1,3,3,0,0,3.0,0.0,33.8,-87.23,0.0,0.0,1.5,50,1,1,1,127,0,0,0,1953-01-20 21:00:00,False,False,0,3.1119316159554406e-05
726,14,1953,1,23,1953-01-23,05:00:00,3,AL,1,5,3,1,0,4.0,0.0,31.53,-88.0,31.57,-87.9,6.5,300,1,1,1,25,0,0,0,1953-01-23 11:00:00,False,False,0,8.276568609526448e-06
727,15,1953,2,6,1953-02-06,13:00:00,3,LA,22,1,3,21,2,6.0,0.0,30.48,-90.7,30.53,-90.45,15.6,400,1,1,1,63,105,0,0,1953-02-06 19:00:00,False,False,0,1.9653764118049782e-05
739,27,1953,2,20,1953-02-20,16:10:00,3,AL,1,6,3,8,1,4.0,0.0,34.7,-87.7,0.0,0.0,0.1,20,1,1,1,33,0,0,0,1953-02-20 22:10:00,False,False,0,2.577469817908895e-05
744,32,1953,3,13,1953-03-13,14:00:00,3,TX,48,4,4,25,17,6.0,0.0,33.28,-99.95,33.42,-99.78,13.9,50,1,1,1,207,275,0,0,1953-03-13 20:00:00,False,False,0,5.243718943039543e-06
746,34,1953,3,13,1953-03-13,18:19:00,3,OK,40,6,3,8,1,5.0,0.0,34.88,-97.7,0.0,0.0,1.0,100,1,1,1,51,0,0,0,1953-03-14 00:19:00,False,False,0,1.2234617470308975e-05
